index,source,target
0,Nothing equipped.,
1,長い年月を経て硬化した巨大{j}などんぐりを加工して作られ{j}た頭防具。希少価値が高い。,
2,雌火竜の素材が使用された{j}頭防具。気品を醸し出す、{j}優雅な装いには定評がある。,
3,空の支配者の寵愛を受けた{j}頭防具。身にまとった姿は、{j}憧れと尊敬の対象となる。,
4,ディアブロスの素材で作られ{j}た頭防具。凄まじい威圧感を{j}与えるが、仲間だと心強い。,
5,ティガレックスの素材を使用{j}し、防御力だけでなく、俊敏{j}な動きも考慮された頭防具。,
6,覇竜の素材を使った頭防具。{j}その豪壮にして堅固なる装甲{j}は、常闇の輝きを鈍く放つ。,
7,ドスファンゴをモチーフにし{j}た頭防具。猛々しい雰囲気を{j}醸しつつも、製法は細かい。,
8,自分だけでなく、他者も守る{j}精神を意識させる頭防具。細{j}かな装飾が気品を感じさせる。,
9,古びた骨を削り出して加工し{j}た頭防具。野性味溢れ、狩り{j}もワイルドになるらしい。,
10,複数の鉱石を混ぜ合わせて製{j}作した頭防具。手軽に作れて{j}扱いやすいため愛用者が多い。,
11,フルフルの素材で作られた頭{j}防具。使用者は攻撃より、献{j}身的なサポートが得意だとか。,
12,天を裂く雷で編まれたという{j}逸話を持つ頭防具。破損とは{j}無縁とまで噂される至高の品。,
13,金獅子の素材を使った頭防具。{j}夜闇に溶け込めるが、日中は{j}逆に目立ってしまうことも。,
14,怪鳥の素材から作られた頭防{j}具。ふかふかとした着心地も{j}最高だと、もっぱらの噂。,
15,鋼龍の素材で作られた頭防具。{j}外界からの接触を拒むような{j}圧倒的な防御力を誇るという。,
16,炎王龍の素材から作り出した{j}頭防具。隠しても隠し切れぬ{j}気品が周囲の者を圧倒する。,
17,水竜の素材を使用した頭防具。{j}使用者を包み込むように覆い、{j}外部の衝撃から保護している。,
18,青怪鳥を模した頭防具。表情{j}を読まれずに攻撃できるが、{j}頭をぶつけやすくなるとか。,
19,桜火竜の素材で作られた頭防{j}具。舞い散る花びらのような{j}色彩が、見る者の目を奪う。,
20,金火竜の素材を使用した頭防{j}具。その威厳の前では、多く{j}の獣人族がマタタビを捧げる。,
21,赤きフルフルの素材で作られ{j}た頭防具。身にまとうと、献{j}身的かつ攻撃的になるとか。,
22,蒼き空の王を象徴する頭防具。{j}夜空に溶け込む深い色は、見{j}る者に憧憬の念を抱かせる。,
23,銀の太陽が姿を変えた頭防具。{j}陽光をこの一点に集めたよう{j}な輝きが、数多の心を捉える。,
24,黒角竜の素材で作られた頭防{j}具。威圧感とともに、どこか{j}優しさも感じさせるという。,
25,翠水竜の素材を使用した頭防{j}具。水や空気の抵抗を抑え、{j}想像以上の動きが可能に…？,
26,棘竜の素材を使い、衝撃から{j}身を守るため開発された頭防{j}具。安心して転倒できるかも。,
27,棘茶竜の素材を使い、衝撃か{j}ら身を守るため開発された頭{j}防具。精神的な衝撃には無力。,
28,衝撃から身を守るため、棘白{j}竜の素材を使った頭防具。カ{j}ジキマグロで刺されても平気。,
29,登った木の上から降りるのが{j}苦手な獣人族が、弱点克服を{j}夢見て考案したという頭防具。,
30,屋根の上から飛び降りるのが{j}苦手な獣人族が、降下を夢見{j}て考案したという頭防具。,
31,崖の上からでも飛べるのでは{j}ないかと夢想した獣人族が、{j}空に憧れて考案した頭防具。,
32,愛嬌のある溶岩竜をイメージ{j}したところ、周囲との距離が{j}できたという不思議な頭防具。,
33,究極の美を追求した職人が、{j}己が感性を余すことなく注ぎ、{j}世に衝撃を与えた頭防具。,
34,ベルキュロスの素材を使用し{j}た頭防具。防御力だけでなく{j}軽量化まで計算された逸品。,
35,根強い愛好者がいる頭防具。{j}他の防具を入手しても、記念{j}に保管しておくほどだとか。,
36,ゴゴモアの素材を用いて{j}作成された頭防具。{j}猛々しさが感じられる。,
37,装備すると知的に見える{j}頭防具。実際に頭がよく{j}なるかは謎である。,
38,とある冒険譚に憧れて親方{j}に作ってもらった頭防具。{j}さあ、気合を入れて出発だ！,
39,とある冒険譚に憧れて親方{j}に作ってもらった頭防具。{j}さあ、気合を入れて出発だ！,
40,とある冒険譚に憧れて親方{j}に作ってもらった頭防具。{j}さあ、気合を入れて出発だ！,
41,とある冒険譚に憧れて親方{j}に作ってもらった頭防具。{j}さあ、気合を入れて出発だ！,
42,風翔龍の素材を使用{j}して作成された頭防具。{j}鉄壁の防御を誇る。,
43,尾晶蠍の素材を用いて{j}作成された頭防具。結晶で{j}できた装飾品がアクセント。,
44,灰晶蠍の素材を用いて作成{j}された頭防具。見た目だけで{j}はなく性能も高い。,
45,ドラギュロスの素材を用いた{j}頭防具。動きやすさを重視{j}して作られている。,
46,響狼の素材から作られた{j}頭防具。しなやかな生地で{j}着心地がとてもいい。,
47,響狼の素材から作られた{j}頭防具。軽装だが防御力に{j}も優れている。,
48,天廊でのみ得られる素材と{j}新技術を融合して作られた、{j}不思議な魅力を持つ頭防具。,
49,騎士を思わせるような立派な{j}頭防具。歩くたびに頭上の{j}ポンポンが軽やかに跳ねる。,
50,撥水性の高いパートニャー専用{j}スイム帽。付属の水中メガネで{j}おさかなも良く見え〜る？！,
51,強気な態度を演出する珍しい{j}デザインの被り物。長時間{j}装着すると首が凝るので注意。,
52,情熱的な赤を基調にデザイン{j}された西洋風の頭防具。穴から{j}ヒゲを出すことをお忘れなく。,
53,気品ある青を基調にデザイン{j}された西洋風の頭防具。穴から{j}ヒゲを出すことをお忘れなく。,
54,炎妃龍の風格を漂わせる、{j}贅沢な頭防具。隠しても{j}隠しきれぬ気品が漂う。,
55,希少な鉱石を混ぜ合わせて{j}製作した頭防具。中級ニャ{j}向けに改良されている。,
