location,source,target
0x13ce00@mhfpac.bin,"ハンターさん、お疲れ様ですニャ。
探索は順調かニャ？
何か必要なものがあれば、
ボクがジェムと交換するニャ！",
0x13ce0c@mhfpac.bin,気をつけて行くのニャ！,
0x13ce18@mhfpac.bin,"あっハンターさん！
この先はちょっとマズい感じがするのニャ。
イヤ〜な寒い空気がココまで流れてきてるニャ。",
0x13ce24@mhfpac.bin,かなりの「テダレ」じゃないと、突破は難しいと思うニャ。ヤツと戦うというニャらバンゼンの準備を整えていくことニャ！,
0x13ce30@mhfpac.bin,"何か必要なものがあれば、
ボクがジェムと交換するニャ！",
0x13ce3c@mhfpac.bin,"あっそうだニャ！
この先の扉は‾C02一度進んだら戻れない‾C00みたいニャ。
クレグレも気をつけて行くのニャ！",
0x13ce48@mhfpac.bin,ニャ？準備が足りなかったのかニャ？,
0x13ce54@mhfpac.bin,クレグレも気をつけて行くのニャ！,
0x13ce60@mhfpac.bin,"ハンターさん、はじめましてですニャ。
天廊調査の頼れる味方、‾C05≪天廊ネコ≫‾C00とはボクのことだニャ！",
0x13ce6c@mhfpac.bin,本来ならば、天廊調査をする人にジェムと交換で必要な物をお渡しするのがボクのおしごとニャんですけど、,
0x13ce78@mhfpac.bin,"今回はまだ天廊調査に
慣れないハンターさんのセンパイとして、
手取り足取り教えてあげるニャ！
どうぞよろしくだニャ！",
0x13ce84@mhfpac.bin,まず、今ボクたちがいる場所、ここが天廊の中だニャ。どうやら、あちこちに罠が仕掛けられているみたいで、すご〜くキケンなところだニャ。,
0x13ce90@mhfpac.bin,"例えば、今上ってきた階段を見てほしいニャ。
階段を上ると扉が閉まってしまうので、一度上の階に行くと下には戻れなくなってしまうみたいなのニャ。",
0x13ce9c@mhfpac.bin,"だけど、安心するニャ。
このあたりは特別で、調査の結果、安全が確保されているとギルドの人が言っていたニャ。",
0x13cea8@mhfpac.bin,"だから、ここで天廊調査のキホンを学んで、
今後の調査にいかしていってほしいんだニャ。",
0x13ceb4@mhfpac.bin,"それでは、早速出発するニャ！
大事なことはそのつどボクが教えるので、
とにかくドンドン行ってみようだニャ！",
0x13cec0@mhfpac.bin,"ハンターさん、お疲れ様ですニャ。
天廊について、もう一度聞くかニャ？",
0x13cecc@mhfpac.bin,さっきここを通ったアイルーが、まだ戻ってきていないようですニャ。心配ですニャあ・・・。,
0x13ced8@mhfpac.bin,"ニャ！ハンターさん、
調査に手こずってるみたいだニャ？
困っているハンターさんを助けるのも
ボクのおしごと。
ボクのジェムを調査に役立てて欲しいニャ。",
0x13cee4@mhfpac.bin,"困ったニャ〜。
迷子になったアイルーがいるみたいニャ。
ハンターさん、お願いしますニャ。
このジェムを使って迷子のアイルーを探して欲しいニャ。",
0x13cef0@mhfpac.bin,"ニャ！ハンターさん、
調査に手こずってるみたいだニャ？
この先は、ものすご〜く危険だニャ！
このジェムでちゃんと準備をするニャ！",
0x13cefc@mhfpac.bin,"あっハンターさん！
この先はちょっとマズい感じがするのニャ。
イヤーなピリピリした空気がココまで流れてきてるニャ。",
