location,source,target
0x7d0@mhfjmp.bin,ランドへ移動(別の広場),
0x808@mhfjmp.bin,ワールドへ移動(別の区画),
0x840@mhfjmp.bin,クエストボードへ移動,
0x878@mhfjmp.bin,求人板へ移動,
0x8b0@mhfjmp.bin,猟団部屋へ移動,
0x8e8@mhfjmp.bin,マイハウスへ移動,
0x920@mhfjmp.bin,武具工房へ移動,
0x958@mhfjmp.bin,くじを引きに行く,
0x990@mhfjmp.bin,メゼポルタ広場に移動,
0x9c8@mhfjmp.bin,パローネ＝キャラバンに移動,
0xa00@mhfjmp.bin,マイギャラリーに移動,
0xa38@mhfjmp.bin,マイガーデンに移動,
0xa70@mhfjmp.bin,マイトレに移動,
0xaa8@mhfjmp.bin,マイサポートに移動,
0xae0@mhfjmp.bin,マイミッションに移動,
0xb18@mhfjmp.bin,大衆酒場に移動,
0xb50@mhfjmp.bin,交流酒場に移動,
0xb88@mhfjmp.bin,大衆酒場の入口に移動,
0xbc0@mhfjmp.bin,交流酒場の入口に移動,
0xbf8@mhfjmp.bin,クエストボードへ移動,
0xc30@mhfjmp.bin,カシラへ移動,
0xc68@mhfjmp.bin,猟団部屋へ移動,
0xca0@mhfjmp.bin,ランドへ移動(別の広場),
0xcd8@mhfjmp.bin,ワールドへ移動(別の区画),
