index,source,target
0,装備無し,
1,工房にて大量に生産される安{j}価なライトボウガン。入門用{j}として最適の一丁。,"A cheap Bowgun, mass-{j}produced at the Smithy.{j}Ideal for first-time users."
2,新技術の速射機能を実験的に{j}搭載。{c03}LV1 通常弾{/c}の{c03}速射{/c}が可{j}能になったライトボウガン。,Fitted with an experimental{j}rapid-fire mechanism. Allows{j}{c03}rapid fire{/c} of {c03}Normal S Lv1{/c}.
3,カンタロスの素材でフレーム{j}強度を上げて、威力も向上さ{j}せたライトボウガン。,Light Bowgun toughened with{j}materials from a Hermitaur.{j}More powerful than usual.
4,単独モンスターとの戦闘に特{j}化した攻撃型ライトボウガン。{j}補助系特殊弾の多くが非対応。,Light Bowgun specially made{j}for hunting single monsters.{j}Can't use most support ammo.
5,単独モンスターとの戦闘に特{j}化した攻撃型ライトボウガン{j}の強化版。さらに威力が向上。,Upgraded Light Bowgun made{j}for hunting single monsters{j}in a more deadly fashion.
6,ストレートフレームを採用し{j}た散弾の運用に重きを置いた{j}ライトボウガン。,Straight-framed Light Bowgun{j}mainly used for firing{j}pellet ammo.
7,高レベルの散弾にも対応した、{j}散弾重視系ライトボウガンの{j}改良版。,"An upgraded pellet-firing{j}Light Bowgun, capable of{j}firing high-grade shells."
8,補助系特殊弾の対応数も多い、{j}散弾重視系ライトボウガンの{j}改良発展版。,An upgraded pellet-firing{j}Light Bowgun than can fire{j}many types of support ammo.
9,威力よりも、より多種の弾の{j}運用を目標に改良された細身{j}のライトボウガン。,Slender Light Bowgun with{j}improved ammo diversity at{j}the expense of power.
10,リロードの高速化を図ったラ{j}イトボウガン。機動力を生か{j}した戦闘が可能。,"A Light Bowgun designed to{j}reload quickly, letting you{j}fight highly mobile battles."
11,低・中レベルの攻撃系特殊弾{j}が多種扱える超攻撃仕様。{j}{c03}LV1 徹甲榴弾{/c}が{c03}速射{/c}対応に。,Fires many types of low/{j}mid-grade assault ammo.{j}{c03}Rapid fires{/c} {c03}Crag S Lv1{/c}.
12,中・高レベルの攻撃系特殊弾{j}が多種扱える超攻撃型ライト{j}ボウガン。,Light Bowgun that can fire{j}many types of mid/high-{j}grade assault ammo.
13,最も多く流通しているヘビィ{j}ボウガン。汎用性の高さが人{j}気を呼んでいる。,The most widely-used Heavy{j}Bowgun. Its versatility{j}makes it very popular.
14,汎用フレームを骨素材で強化{j}したヘビィボウガン。使用可{j}能な弾も増加。,Heavy Bowgun with a bone-{j}reinforced generic frame.{j}Fires a wider range of ammo.
15,散弾の全レベルと比較的豊富{j}に補助系特殊弾を使用できる{j}ヘビィボウガン。,Heavy Bowgun that fires all{j}grades of pellets and works{j}well with support ammo.
16,リロードの高速化が図られた{j}ヘビィボウガン。低レベル弾{j}が主だが使用可能弾は豊富。,"Heavy Bowgun with a faster{j}reload time. Versatile, but{j}fires low-grade shells."
17,キリンの素材を使用した美し{j}いヘビィボウガン。実射性能{j}も他と遜色ない仕上がり。,"Made from Kirin parts. It's{j}beautiful, but that doesn't{j}mean it's less powerful."
18,希少金属によって製作された{j}ヘビィボウガン。シンプルな{j}構造だが高威力を発揮する。,"Heavy Bowgun made from{j}precious metal. A simple{j}design, but very powerful."
19,青いイャンクックの素材を使{j}用した重砲。扱うにはある程{j}度以上の腕力が要求される。,Cannon made from Yian Kut-Ku{j}that requires a certain{j}level of skill to operate.
20,イャンガルルガの素材から作{j}られた黒きヘビィボウガン。{j}その一撃は堅固な盾すら貫く。,Black Heavy Bowgun made{j}from Yian Gargua parts. One{j}blast penetrates any shield.
21,老山龍の素材から作られた、{j}最高威力と防御性能を持つ{j}ヘビィボウガンの究極形態。,"The ultimate Heavy Bowgun,{j}made from Lao-Shan parts.{j}Great at attack and defense."
22,特異な姿を持つヘビィボウガ{j}ン。ある弾を運用するための{j}試作品との噂がある。,"Oddly-shaped Heavy Bowgun,{j}said to be a prototype for{j}firing a certain ammo type."
23,龍を倒すための特殊弾を運用{j}するために開発されたヘビィ{j}ボウガン。,Heavy Bowgun developed for{j}firing special ammo that's{j}used to take down dragons.
24,ギルド製のボウガンとは設計{j}思想が異なる、正体不明の品。{j}しかし実射性能は非常に高い。,An obscure Heavy Bowgun that{j}differs from Guild designs.{j}Extremely powerful.
25,{c03}LV1 散弾{/c}の{c03}速射{/c}機能と装填数{j}の多さが脅威の掃討能力を生{j}んだ、美しきライトボウガン。,{c03}Rapid fires{/c} {c03}Pellet S Lv1{/c} and{j}has a large magazine.{j}Elegant but deadly.
26,黒の鎧竜を模した超重装ボウ{j}ガン。巨大な口腔から放たれ{j}る弾丸は竜の咆哮そのもの。,Very Heavy Bowgun modeled{j}on a black Gravios. Roars{j}like a dragon when fired.
27,とにかく高い攻撃力をという{j}一時の風潮が生み出した、超{j}大火力の武器。扱いが難しい。,Very powerful weapon that{j}fires in destructive waves.{j}Difficult to handle.
28,使用可能な属性弾や補助弾が{j}豊富なライトボウガン。後衛{j}のサポート役にうってつけ。,Light Bowgun. Fires a range{j}of attribute/support ammo.{j}Ideal for rearguard actions.
29,{c03}LV2 通常弾{/c}の{c03}速射{/c}機能が搭載{j}されたことにより、１対１と{j}いう基本コンセプトが明確に。,"Designed for 1-to-1 combat,{j}as evidenced by the fact it{j}can {c03}rapid fire{/c} {c03}Normal S Lv2{/c}."
30,対大型モンスター用ボウガン{j}の究極形。機動性にも富み、{j}近〜中距離での運用には最適。,A Bowgun that's perfect for{j}fighting large monsters.{j}Ideal at short/medium range.
31,大量の火力を集中させて戦う、{j}桜色の一点突破型ボウガン。{j}{c03}LV2 通常弾{/c}が{c03}速射{/c}可能。,Pink Bowgun that focuses its{j}great firepower on one spot.{j}{c03}Rapid fires{/c} {c03}Normal S Lv2{/c}.
32,{c03}LV1 散弾{/c}の{c03}速射{/c}と拡散弾の使{j}用に対応するため金竜素材を{j}採用。火力と汎用性が急上昇。,{c03}Rapid fires{/c} {c03}Pellet S Lv1{/c} and{j}can cluster fire. Power and{j}versatility are improved.
33,{c03}LV1 貫通弾{/c}の{c03}速射{/c}機能が搭載{j}されたことにより、１対１と{j}いう基本コンセプトが明確に。,"Designed for 1-to-1 combat,{j}as evidenced by the fact it{j}can {c03}rapid fire{/c} {c03}Pierce S Lv1{/c}."
34,対大型モンスター用ボウガン{j}の究極形。薬室内圧力の制御{j}により、殺傷力を数段増した。,The ideal Bowgun for taking{j}on big monsters. Pressure-{j}adjusted for greater power.
35,大量の火力を集中させて戦う、{j}蒼色の一点突破型ボウガン。{j}{c03}LV1 貫通弾{/c}が{c03}速射{/c}可能。,Red Bowgun that focuses its{j}great firepower on one spot.{j}{c03}Rapid fires{/c} {c03}Pierce S Lv1{/c}.
36,{c03}LV1 貫通弾{/c}の{c03}速射{/c}と三種の属{j}性弾に対応、全局面対応型の{j}銀色の火力重視型ボウガン。,Multi-purpose silver Bowgun.{j}{c03}Rapid fires{/c} {c03}Pierce S Lv1{/c} and{j}three attribute ammo types.
37,凄まじい火力を有しながら、{j}ハイブリッドフレームの力で{j}反動を軽減。飛竜戦時に有用。,Fearsomely powerful with{j}reduced kickback. Useful{j}against flying Wyverns.
38,二丁分の機能を凝縮。{c03}LV2 {j}通常弾{/c}と{c03}LV1 貫通弾{/c}の双方に{j}{c03}速射{/c}対応し、散弾も使用可能。,Two guns in one. {c03}Rapid fires{/c}{j}{c03}Normal S Lv2{/c} and {c03}Pierce S {j}{c03}Lv1{/c}. Also fires pellet ammo.
39,圧倒的な火力でたちどころに{j}対象を殲滅する黒いボウガン。{j}{c03}火炎弾{/c}が{c03}速射{/c}可能。,Black Bowgun that destroys{j}targets with one attack.{j}{c03}Rapid fires{/c} {c03}Flaming S{/c}.
40,{c03}LV2 通常弾{/c}と{c03}LV1 貫通弾{/c}双方{j}に{c03}速射{/c}対応。対飛竜戦におい{j}て無類の強さを誇る。,{c03}Rapid fires{/c} both {c03}Normal S{j}{c03}Lv2{/c} and {c03}Pierce S Lv 1{/c}. Ideal{j}for fighting flying Wyverns.
41,常識を超える火力を実現した{j}夢の一丁。{c03}LV1 散弾{/c}と{c03}LV1 貫{j}通弾{/c}が{c03}速射{/c}、拡散弾使用可能。,Powerful gun that can {c03}rapid{j}{c03}fire{/c} {c03}Pellet S Lv1{/c} and {c03}Pierce{j}{c03}S Lv1{/c}. Also cluster fires.
42,下位モデルの特徴を受け継ぐ{j}広域攻撃重視型ボウガン。{j}火力が格段に強化されている。,Improved Bowgun that focuses{j}on attacking wide areas. Its{j}power has also been boosted.
43,属性弾の使用により、単体の{j}大型モンスターとも渡り合う{j}事が可能。腕が試される武器。,Fires attribute ammo that{j}lets you take on big beasts.{j}Requires skill to use.
44,散弾による群れの掃討から、{j}補助弾での支援までこなせる、{j}幅広い適応能力が魅力の武器。,"A versatile weapon. Cluster{j}fire to damage several foes,{j}or use support ammo."
45,散弾系軽量ボウガンの最高峰。{j}{c03}LV1 散弾{/c}が{c03}速射{/c}対応。その弾{j}丸は雨の如く対象に降り注ぐ。,"{c03}Rapid fires{/c} {c03}Pellet S Lv1{/c},{j}bringing down targets in a{j}hail of bullets."
46,ほぼ全種の弾丸を発射できる、{j}画期的なライトボウガン。{j}火力も強化し実用度を増した。,Fires almost all ammo types.{j}A groundbreaking Light{j}Bowgun with boosted power.
47,高速装弾機構を小型化。その{j}空間を{c03}LV2 通常弾{/c}の{c03}速射{/c}機能{j}と装填数に割いた一丁。,"Small, fast-loading weapon.{j}{c03}Rapid fires{/c} ‾Normal S Lv2{/c}{j}and has a larger magazine."
48,薬室の強度を増すため、希少{j}な素材を利用。設計限界ギリ{j}ギリまで威力を上げた武器。,Weapon with a strengthened{j}chamber. Its power has been{j}boosted to the very limit.
