index,source,target
0,%s「%s」,
1,"よ〜し、いっちょやってやるニャ！
お互い頑張るニャ！",
2,"武器よし、防具よし、食料よし！
へへんっ、準備万端ニャ！",
3,"いざ、ヤツらの待つ場所へ！
くうっ、血がタギるニャ〜！",
4,"首を洗って待っていろだニャ…。
俺の妙技をとくと味わわせてやるニャ！",
5,"この緊張感…たまらないニャ…。
ああ、ワクワクが止まらないニャ！",
6,"さあ、クエスト開始ニャ！
全力で駆け抜けるニャ！",
7,"さっそく始めるニャ！
俺の背中は、あんたに任せたニャ！",
8,"一瞬の油断が命取りニャ…。
でも、心配無用ニャ！
あんたは俺が絶対に守ってやるニャ！",
9,"最近調子良いみたいだニャ？
俺の見せ場もとっておいてくれニャ…。",
10,"とってとってとりまくる！
納品でも俺たちが最強だってこと、
見せてやるニャ！",
11,"なんだ、こんなもんかニャ？
ちぇっ、大したことないニャ…。",
12,"いい感じだったニャ！
次もよろしく頼むだニャ！",
13,"ふぅ…手応えの無いクエストだったニャ！
次はもっと大物を頼むニャ！",
14,"まだまだ暴れ足りないニャ！
もう一本、イっとくかニャ？",
15,"さすが、俺の見込んだ相棒だニャ！
見事な狩りっぷり、惚れ惚れするニャ！",
16,"俺たちは最強だニャ！
不可能なコトなど何もないニャ！
どんな依頼でもバッチリ達成ニャ！",
17,"ふ、震えが止まらないニャ！
相棒！あんたは最高の相棒だニャ！",
18,"おいおい、もうオシマイかニャ！？
俺たちの血をタギらせてくれるヤツらは
どこにいるニャ！",
19,"見たか！無敵な我々を！
これからもバッチリ友情を深めて行くニャ！",
20,"よし！バッチリ！見事な納品だったニャ、相棒！
",
21,部位破壊、成功だニャ！,
22,"部位破壊できたニャ！
手こずらせてくれたニャ…。",
23,"部位破壊成功ニャ！
このままいっきに畳み掛けるニャ！",
24,"素晴らしい部位破壊ニャ！
だけど、喜ぶのはまだ早いニャ！",
25,"部位破壊を確認！
でも油断は禁物ニャ！",
26,"見たかニャ！華麗な部位破壊！
さすが俺の相方ニャ！",
27,"なんて顔してるニャ！
やられたらやり返す、それがハンターニャ！",
28,"くっ、しくじったニャ…。
俺としたことが…すまないニャ…。",
29,"こ、今回は運がなかっただけニャ。
俺は信じているニャ。
あんたと俺なら、必ず乗り越えられるって…。",
30,"ニャハハ！
俺たちに恐れをなして逃げていくニャ！
さあ、追い込みニャ！",
31,ニャ！？逃げられたニャ！逃さないニャ！,
32,"まだ終わりじゃないニャ！
必ず狩ってみせるニャ！",
33,"どっちに行ったニャ？
まったく、手こずらせてくれるニャ…。",
34,おっ！効いているニャ！あともう少しニャ！,
35,"相手は弱っているニャ！
最後の追い込み、行くニャ！",
36,"どうやら、もう虫の息のようニャ…。
だが、最後まで油断は禁物ニャ！",
37,"手応えアリ！もう勝ったも同然ニャ！
さあ、いっきにカタを付けるニャ！",
38,"相手は息が切れているニャ！
さあ、あとひと押し！
俺たちの連携を見せてやるニャ！",
39,"よし！相手は相当弱っているニャ！
あんたの妙技を見せてくれニャ！",
