index,source,target
0,アーロン,Aaron
1,バート,Bart
2,カルヴィン,Calvin
3,クライブ,Clive
4,ファーガル,Fergal
5,ドラダ,Dorada
6,マサムネ,Masamune
7,カリスト,Callisto
8,マキシモ,Maximo
9,バルバロ,Barbaro
10,アントン,Anton
11,イサミ,Isami
12,シノブ,Shinobu
13,コウノスケ,Kounosuke
14,タツヒコ,Tatsuhiko
15,カンクロウ,Kankuro
16,シュウケイ,Shukei
17,ハヤタ,Hayata
18,ケンゴウ,Kengo
19,トランザム,Trans Am
20,タニア,Tania
21,カーラ,Carla
22,カサンドラ,Cassandra
23,リンゼイ,Lindsay
24,シンティア,Cynthia
25,レイアン,Rayan
26,イルマ,Irma
27,アスカ,Asuka
28,サーシャ,Sasha
29,アマポーラ,Amapola
30,トリッシュ,Trish
31,セイブル,Martre
32,ナタリア,Natalia
33,ステイシー,Stacy
34,アシュリー,Ashley
35,ジリアン,Jillian
36,サユリ,Sayuri
37,ナオミ,Naomi
38,シルエタ,Silhouette
39,エステル,Ester
40,★,★
41,★★,★★
42,★★★,★★★
