index,source,target
0,Nothing equipped.,
1,古びた骨を削りだして加工し{j}た骨剣。攻撃するだけでなく、{j}田畑を耕したという逸話も。,
2,獣人族愛用のハンマー。{j}スタンプやハンコを集めると{j}入手できる。肉球も完備。,
3,雌火竜の素材から作られた細{j}身の剣。鋭い棘を有し、握る{j}部分を誤ると怪我をする。,
4,火竜の素材を使用した重量級{j}の大剣。重い一撃は、辺りの{j}ものを片端から薙ぎ倒すとか。,
5,複数のディアブロス素材を{j}混ぜたハンマー。その一撃は、{j}大地を割り、大山を崩すかも。,
6,轟竜を狩猟した証とされる槌。{j}その一振りは、風を切る轟音{j}と共に色々粉砕することも…。,
7,覇竜の名の発音に難儀した獣{j}人族が命名したという噂をも{j}つ大剣。真相は定かではない。,
8,大猪の素材を使用した大槌。{j}武器の生産時に、並々ならぬ{j}愛情を注がれたとかなんとか。,
9,ある獣人族が愛用した儀礼用{j}の剣。儀礼用と侮る無かれ、{j}マタタビをも容易く斬り裂く。,
10,古びた骨を削りだして加工し{j}たハンマー。その手触りは、{j}爪を研ぐのにも最適だという。,
11,狩りに慣れていなくても扱え{j}る大剣。多数のモンスターを{j}なぎ払うことも可能とされる。,
12,マカライト鉱石を主として、{j}様々な鉱石を使用して作成{j}された剣。開墾時にも重宝。,
13,見事な大きさを誇るどんぐり{j}槌。一時期、非常時には食糧{j}にもなるという噂も流れた。,
14,ドスランポスの爪を使用した{j}鋭利な剣。その斬撃は、どん{j}な鮮魚も一瞬で三枚に下ろす。,
15,金獅子の素材を使用した斧大{j}剣。薪を割るのに適しすぎ、{j}狩りでの使用頻度が減少傾向。,
16,医療技術に精通した獣人族が{j}開発したとされる大剣。フル{j}フル素材の弾力が枕にも最適。,
17,雷を制すと伝わる大剣。ただ、{j}雷鳴を耳にしたら、天高く掲{j}げてはならないとも伝わる。,
18,金獅子の見事な毛を手に入れ{j}た職人が、勢い余って造形に{j}凝りすぎてしまったという槌。,
19,怪鳥をモチーフにした、愛嬌{j}あふれる大剣。大きな料理を{j}切り分ける時にも人気がある。,
20,鋼龍の素材を使用した優雅な{j}大剣。狩猟だけでなく、暑い{j}時は扇いであげると喜ばれる。,
21,獣人族の品格を引き上げると、{j}注目の的になっている槌。炎{j}王龍の素材を使用した贅沢品。,
22,大海を渡ることも可能という{j}多様性をもった大剣。しかし、{j}成功報告は未だにないとか。,
23,青怪鳥をモチーフに作られた{j}大剣。どんなに固い殻に覆わ{j}れた果実も一刀両断にする。,
24,桜火竜の素材から作られた細{j}身の剣。鋭い棘で自ら傷つき、{j}桜色に染まったわけではない。,
25,金火竜の素材から作られた細{j}身の剣。その気品と刺々しさ{j}から、気安く近寄れなくなる。,
26,医療技術に精通した獣人族が{j}作ったという大剣。色のせい{j}か、隣人と距離ができるとか。,
27,蒼火竜の素材を使用した重量{j}感あふれる大剣。一振りで、{j}様々な悩みを吹き飛ばすかも。,
28,銀火竜の素材を使用した大剣。{j}巨大な魚を思わせる銀色の{j}フォルムは、獣人族垂涎の的。,
29,黒きディアブロス素材を混ぜ{j}たハンマー。その威力に魅せ{j}られると気性が荒くなるとか。,
30,翠水竜の素材を混ぜ合わせた{j}異形の大剣。河川を滑走する{j}獣人族を見かけたという噂も。,
31,棘竜の素材から生み出された{j}大剣。ずっと見ていると獣人{j}族のように見えてくるとか…。,
32,棘茶竜の素材で作られた土色{j}大剣。どことなく畏怖の念を{j}抱かせ、怯える持ち主も…？,
33,棘白竜の素材を使用した大剣。{j}夜道で見てしまった獣人族が{j}逃げ惑ったという逸話も…。,
34,眠鳥の素材で作られた槌。羽{j}根の動きに反応して飛びつい{j}てしまう獣人族もいるとか。,
35,色鮮やかな羽根を備えたハン{j}マー。その動きに無心で耐え{j}られる獣人族は少ないという。,
36,どこか威厳を感じさせる槌。{j}その前では、自制心との葛藤{j}が生まれる獣人族も多いとか。,
37,溶岩竜の素材を使用したハン{j}マー。高熱を発し、飲み水を{j}干上がらせたという苦情も。,
38,紅溶岩竜を模した灼熱の槌。{j}池を熱し、煮魚を作る野望に{j}取りつかれる獣人族も…。,
39,舞雷竜の素材を使用した槌。{j}その破壊力たるや、数多の獣{j}人族を虜にするほどだとか。,
40,己が手のように扱いやすく、{j}獣人族の中で人気が高い大剣。{j}多忙なときにも重宝される。,
41,見た目と扱いやすさ共に定評{j}があるハンマー。物足りなく{j}なったら、新たな武器を…。,
42,跳緋獣の素材から作られた鎚。{j}獣人族の間では武の象徴{j}として祀られているとか。,
43,その道を極めた職人が、{j}更なる高みを目指すために{j}趣向を凝らした鋭利な剣。,
44,獣人族の精鋭たちが一丸{j}となって作り上げた、{j}おいしそうなハンマー。,
45,獣人族の精鋭たちが一丸{j}となって作り上げた、{j}おいしそうなハンマー。,
46,獣人族の精鋭たちが一丸{j}となって作り上げた、{j}おいしそうなハンマー。,
47,獣人族の精鋭たちが一丸{j}となって作り上げた、{j}おいしそうなハンマー。,
48,鋼龍の素材を用いた大剣。{j}刃の着脱が可能で、具材を細{j}かく刻むなどの使い道もある。,
49,尾晶蠍の素材を用いた{j}煌びやかな細身の剣。{j}一部の紳士な獣人族の憧れ。,
50,灰晶蠍の素材を用いた、{j}神秘的な細身の剣。{j}貫かれた者は美しく散る。,
51,ドスゲネポスの爪を使用した{j}鋭利な剣。斬れ味を保つため、{j}毎日のお手入れは欠かせない。,
52,ドスイーオスの爪を使用した{j}鋭利な剣。形状と硬質さから、{j}ピッケル代わりとなる事も…。,
53,冥雷竜の素材を使用した槌。{j}持ち手を握ると武器から{j}気迫が流れ込んでくる。,
54,オルガロンの素材を巧みに{j}加工して作られた鈴型の鎚。{j}急な祭事に用いられることも。,
55,オルガロンの素材を巧みに{j}加工して作られた鈴型の鎚。{j}獣人族も思わず二度見する。,
56,高い狩猟技術をもつ者に{j}贈られる金色の大剣。{j}その価値は計り知れない。,
57,高い狩猟技術をもつ者に{j}贈られる銀色の大剣。{j}その価値は計り知れない。,
58,高い狩猟技術をもつ者に{j}贈られる銅色の大剣。{j}その価値は計り知れない。,
59,天廊でのみ得られる素材と{j}新技術を融合して作られた、{j}不思議な魅力を持つ大剣。,
60,シンプルなデザインの{j}扱いやすい片手剣。防具と{j}合わせれば立派な騎士に。,
61,蛮竜をイメージして作られた{j}とても痛そうなハンマー。{j}振り回すときは周りに注意。,
62,先端が三つに分かれた、{j}槍型のパートニャー武器。{j}チクチク突かれると痛い…。,
63,先端が三つに分かれた、{j}槍型のパートニャー武器。{j}チクチク突かれると痛い…。,
64,獣人族の風格を上げると{j}評判の槌。炎妃龍の素材を{j}ふんだんに使用した贅沢品。,
