index,source,target
0,"≪Hunter Basics≫
Hunter Basics{j}Deliver 2 Raw Meat{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
よくぞこの≪クエスト確認≫
に目を通したな！ナイスだ！
どのクエストでも、ここには
クエストクリアに欠かせない
重要ヒントが書かれている。
必ず読むようにするのだぞ！",
1,"≪Hunter Basics≫
Secret Wyvern Cooking{j}Deliver 1 Well-Done Steak{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
この≪クエスト確認≫欄には
クエストの受注に必要なお金
≪契約金≫や、クリアの際に
もらえる≪報酬金≫、さらに
クエストの目的や制限時間と
重要事項が目白押しだぞ！",
2,"≪Hunter Basics≫
Secret Wyvern Gathering{j}Deliver 2 Honey{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
うむ。よくぞここを見たな。
どのクエストに行くときも、
この項目はしっかり確認だ。
さて、今回は≪ハチミツ≫を
探すクエストだ。ハチの巣を
見つければ、蜜を取れるぞ！",
3,"≪Hunter Basics≫
Secret Wyvern Combo{j}Deliver 1 Potion{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
調合には、成功確率なるもの
があるぞ。例え失敗しても、
あきらめずに繰り返すのだ！
{K010}で出るメニュー内の
調合→調合リストの中に調合
レシピが並んでいくぞ！",
4,"≪Hunter Basics≫
Secret Wyvern Fishing{j}Deliver 1 Sushifish{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
≪釣りポイント≫にいる魚は
場所によって異なる。必要な
魚が釣れた所は、覚えておく
ようにするといいぞ。また、
季節によっても、魚の種類は
変わるのだ。大自然の神秘！",
5,"≪Hunter Basics≫
Secret Wyvern Sword and Shield{j}5 Velociprey{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
6,"≪Hunter Basics≫
Secret Wyvern Great Sword{j}5 Velociprey{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
7,"≪Hunter Basics≫
Secret Wyvern Hammer{j}5 Velociprey{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
8,"≪Hunter Basics≫
Secret Wyvern Lance{j}5 Velociprey{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
9,"≪Hunter Basics≫
Secret Wyvern Dual Swords{j}5 Velociprey{j}None{j}None{j}Achieve Main Objective{j}Zero Rewards
Time Runs out{j}教官{j}我輩だ。教官だ！
このクエストでは、クリアの
条件がランポス５頭の討伐と
なっている。ひと通り武器の
操作を覚えたら、肩慣らしに
いっちょ戦ってみるがいい！
青い鱗を目印に探すのだぞ！",
